Year,Title,Authors,Journal,Link,Themes
2024,Decoding the plant clock: a review of mathematical models for the circadian regulatory network,"Singh SK, Srivastava A","Plant Molecular Biology, 114, 93",https://doi.org/10.1007/s11103-024-01493-2,"clock, network"
2024,Investigating REV-ERBβ Binding Pocket Dynamics with Implications for Rational Design of Small Molecule Modulators,"Srivastava S, Thakur R, Srivastava A","bioRxiv, 2024.04.13.589008",https://doi.org/10.1101/2024.04.13.589008,"clock, structural"
2024,Influence of Protein Nativity on the Stability of Bovine Serum Albumin Coated Microbubbles,"Dhara P, Shah N, Sundaram V, Srivastava A, Solovev AA, Mei Y, Gorin DA, Dey KK","iScience, 109286",,structural
2022,Network approach to understand biological systems: From single to multilayer networks,"Chaudhuri S, Srivastava A","Journal of Biosciences, 47(4), 1–18",,network
2022,Light-Control over Casein Kinase 1δ Activity with Photopharmacology: A Clear Case for Arylazopyrazole-Based Inhibitors,"Schulte AM, Kolarski D, Sundaram V, Srivastava A, Tama F, Feringa BL, Szymanski W","International Journal of Molecular Sciences, 23(10), 5326",,"clock, structural"
2022,Virtual screening of phytochemicals from Indian medicinal plants against the endonuclease domain of SFTS virus L polymerase,"Vivek-Ananth RP, Sahoo AK, Srivastava A, Samal A","RSC Advances, 12(10), 6234–6247",,structural
2021,Structural differences in the FAD-binding pockets and lid loops of mammalian CRY1 and CRY2 for isoform-selective regulation,"Miller S, Srivastava A, Nagai Y, Aikawa Y, Tama F, Hirota T","PNAS, 118(26), e2026191118",,"clock, structural"
2021,Reversible Modulation of Circadian Time with Chronophotopharmacology,"Kolarski D, Miró Vinyals C, Sugiyama A, Itami K, Srivastava A, Tama F, Szymanski W, Hirota T, Feringa BL","Nature Communications, 12, 3164",,clock
2021,Photopharmacological Manipulation of Mammalian CRY1 for Regulation of the Circadian Clock,"Kolarski D, Miller S, Oshima T, Nagai Y, Aoki Y, Kobauri P, Srivastava A, et al.","Journal of the American Chemical Society, 143(4), 2078–2087",,"clock, structural"
2020,Small conformational changes underlie evolution of resistance to NNRTI in HIV Reverse Transcriptase,"Srivastava A, Birari V, Sinha S","Biophysical Journal, 118, 2489–2501",,structural
2020,Isoform-selective regulation of mammalian cryptochromes,"Miller S, Son YL, Aikawa Y, Makino E, Nagai Y, Srivastava A, et al.","Nature Chemical Biology, 16, 676–685",,"clock, structural"
2020,Dynamics at the serine loop underlie differential affinity of cryptochromes for CLOCK:BMAL1 to control circadian timing,"Fribourgh J, Srivastava A, Sandate C, et al.","eLife, 9, e55275",,"clock, structural"
2020,Integrative/Hybrid modeling approaches for studying biomolecules,"Srivastava A, Tiwari SP, Miyashita O, Tama F","Journal of Molecular Biology, 432, 2846–2860",,structural
2019,Bipartite anchoring of SCREAM enforces stomatal initiation by coupling MAP Kinases to SPEECHLESS,"Putarjunan A, Ruble J, Srivastava A, et al.","Nature Plants, 5, 742–754",,network
2019,Cell-based screen identifies a new potent and highly selective CK2 inhibitor for modulation of circadian rhythms and cancer cell growth,"Oshima T, Niwa Y, Kuwata K, Srivastava A, et al.","Science Advances, 5(1), eaau9060",,clock
2018,Role of computational methods in going beyond X-ray crystallography to explore protein structure and dynamics,"Srivastava A, Nagai T, Srivastava A, Miyashita O, Tama F","International Journal of Molecular Sciences, 19(11), 3401",,structural
2018,Conformational dynamics of human protein kinase CK2α and its effect on function and inhibition,"Srivastava A, Hirota T, Irle S, Tama F","Proteins, 86, 344–353",,structural
2017,Uncoupling of ammonia channel as a mechanism of allosteric inhibition in anthranilate synthase of Serratia marcescens: dynamic and graph theoretic analysis,"Srivastava A, Sinha S","Molecular BioSystems, 13, 142–155",,"network, structural"
2014,Thermostability of In Vitro Evolved Bacillus subtilis Lipase A: A Network and Dynamics Perspective,"Srivastava A, Sinha S","PLoS ONE, 9(8), e102856",,"network, structural"
